LojaID	Ar_Condicionado_Split	Ar_Condicionado_Multisplit	Sistema_Ventilacao	Aquecimento_Central	Bomba_de_Calor	Desumidificadores	Ventoinhas	Termoacumuladores	Lareiras_Salamandras	Climatizadores_Evaporativos
60	138274,42	225222,06	406893,77	200315,49	95288,62	327792,66	576977,61	497111,76	186195,73	269971,05
61	399703,74	560483,08	452780,79	560645,04	328365,83	298790,43	271077,02	155823,98	181022,99	425220,20
62	319831,93	535677,74	134948,39	571997,13	327789,37	589748,28	467908,87	610316,36	324443,15	584221,40
63	235763,41	580198,41	213314,06	508693,49	362637,24	216306,57	195344,48	217841,27	567278,86	211661,24
64	139081,88	527288,50	578026,15	287646,47	360940,72	515309,84	447417,88	393646,83	268956,01	291094,43
65	299570,62	475491,21	103637,18	486686,26	199934,25	632642,21	270286,37	542462,18	530025,71	448370,74
66	204806,01	412133,37	395236,52	345084,05	327696,17	456595,42	555491,43	473167,06	251036,63	256007,99
67	589755,10	303788,57	599951,70	398213,54	301293,39	150260,34	228279,55	588553,22	147716,99	468782,68
68	565888,39	553639,50	201410,34	323534,70	174475,50	311191,19	432056,36	333042,74	219949,89	201605,19
69	268895,06	219679,17	530742,93	624772,44	543358,42	358970,30	519716,36	414945,20	491664,87	155028,37
70	216827,61	129972,29	181588,79	584294,60	160809,40	501581,14	191479,73	202386,75	415323,14	438280,53
71	371463,55	282723,30	527002,98	354676,40	360797,37	227957,75	260179,61	249444,52	90624,08	399523,89
72	372381,05	97785,23	602274,37	231091,69	370112,03	231639,51	616418,99	254797,51	159987,07	622994,21
73	155768,04	244674,06	553222,86	113080,58	301805,55	267793,84	250774,11	624361,40	106545,86	450746,67
74	441919,75	257332,96	157140,24	452068,21	436549,06	557891,19	240490,84	462314,73	614480,99	122900,59
75	457935,81	158566,30	522765,08	438089,30	234602,97	217235,24	404048,26	509222,40	316130,89	302152,97
76	140412,91	270225,75	105974,12	340049,12	127176,09	625037,34	436086,77	356890,78	148889,53	441555,19
77	624241,87	201501,10	89343,05	547767,59	342156,16	593742,58	421098,75	332005,17	458221,25	267293,05
78	602561,50	596352,07	374424,60	542865,08	210859,36	402583,17	440520,01	209997,67	361105,37	212506,99
79	329054,82	470842,75	308157,42	452471,44	406359,70	262480,74	185815,45	173500,28	126413,89	195489,91
80	515744,92	306611,98	307880,25	435973,07	132791,02	375337,46	433518,66	291105,86	250912,10	617336,81
